标题,星级,内容,标签
Amazing Service & Support,5,"We hit a major problem and called the Cathay Pacific Service Team for help on the night before we were due to fly I was just amazed at such short notice just how supportive and understanding they were, its a long time since I have received such good support from such a large business to solve the issue we had...",International' 'Economy' 'London - Hong Kong
"So near, yet so far from perfection",4,"At Heathrow we were met by extremely helpful staff at the check-in desk and spent a reasonably comfortable ,initial, stay in the airport lounge. But whilst our original flight was due to take off at 18:2 (for a connecting flight out of Hong Kong at 14:5 the next day), our Heathrow flight was delayed by approx 2 hours as the...",International' 'Economy' 'London - Manila
Legroom & Seat size + extra charge for emergency exit!,3,"Myself and 2 friends were of to Hong Kong and Bali for Vacation.
I must admit that the service in flight is really great and the staff are friendly.
One thing I would have to mention is the seat and legroom space. Our flight from Hong Kong to Bali (return) had ample legroom and seat width, BUT the long haul...",International' 'Economy' 'Hong Kong - Johannesburg
Off to Hong Kong,5,"This was a terrific flight. Had plenty of leg room as we had row 39
The crew were so friendly and helpful. Not a full flight as we left early morning
Highly recommend",International' 'Economy' 'Sydney - Hong Kong
Loved the Relaxation Room in Hong Kong.,5,We had a 9 hour layover in Hong Kong before our flight home to Los Angeles and we weren't sure how to fill the time. Upon arriving in Hong Kong from Ho Chi Minh City we walked around to find our gate and noticed a sign for a Relaxation Room close to gate 23. That became our activity. There are...,International' 'Economy' 'Ho Chi Minh City - Los Angeles
"Safe, Sound and Service",4,I used to fly Cathay in First Class before I retired and am now in coach. This doesn't worry me - I sleep a lot on planes and use the entertainment system. I was lucky enough to have a window seat in a row of two seats to myself at a bulkhead but not near toilets or galley. The leg...,International' 'Economy' 'Hong Kong - London
Top airline,5,"The service was outstanding, the staff were friendly and very helpful. I know it is there job to be helpful but they went further, I had a problem where it looked like another passenger who was sitting in economy had tampered with my seating area. Before I could sit they went over the area with a fine tooth comb and...",International' 'Business Class' 'Manchester - Perth
Disappointing service,2,"Disappointed we did not have a toilet for the use of Premium economy, which other airlines have, also service was slow. Toilets did not seem to be cleaned during the flight.",International' 'Premium Economy' 'Brisbane - Barcelona
Filthy toilets,2,"We would have thought that the extra cost for premium economy would have meant that the toilets would have been closer, not in the middle of economy, and clean. The surface areas were wiped down but when my husband lifted the seat, it was filthy. This was on all legs of our journey from Brisbane, through plane change in Hong...",International' 'Premium Economy' 'Brisbane - London
My first A35-1 flight,4,"I always use Cathay for my business trip to Singapore every month. This month tried the new plane of A35-1. It's a bigger size of A35-9 and catering more passengers. As stated from CX website, it should run those long haul route and surprisingly I've a chance to ride on it. Basically it's similar to A35-9 with the same format,...",Asia' 'Business Class' 'Singapore - Hong Kong
Cancelled Flights,1,"Recent travel plans ruined by cancelled Cathay Pacific flights.
Not able to claim via insurance company for lost accommodation and out of pocket food expenses. They cancelled flights from Sydney to Hong Kong then New York to Hong Kong.
Apparently each plane had ""technical issues"", travel insurance company will not accept that reason for claim.
Very bad experience",International' 'Economy' 'Sydney - New York City
Customer Service,1,"A few days before our flight, I and my husband verified the security requirements on the Cathay Pacific website and followed the strict requirements. Upon arrival, we were detained and put in prison like criminals in Hong Kong for bringing certain items, which were placed in our luggages that were CHECKED-IN. We were very surprised to find out that we...",International' 'Economy' 'Los Angeles - Bangkok
Flight Cancelled,1,"1th October 218 flight scheduled to depart 11:15, then announced at 15: flight cancelled, rescheduled for 11th October. Lost one days accommodation, our Travel Insurance company would not accept claim as paperwork from Cathay Pacific stated cancellation due to technical issue, insurance company will only accept mechanical issue as reason for claim.
Very poor outcome from Cathay Pacific.",International' 'Economy' 'Sydney - Hong Kong
Great Leg Room,5,"We really liked the Flight - Check in was easy. Had great leg room, and the staff were fantastic. Food was good - after six weeks away it was a nice relaxing trip home.",International' 'Premium Economy' 'Shanghai - Perth
"Very good, overall.",4,"Flying from Melbourne to Hong Kong and back was not a bad experience. Great seats, a lot of leg room (economy class), food much better than other airlines. Just a couple of downturns that make me give them just 4 stars: both flights had been delayed up to 1hour and the on plane service was a bit slow. It looked...",International' 'Economy' 'Melbourne - Hong Kong
Long Haul in Cattle Class - never a good thing!,4,"I usually use Cathay for regional flights which is fine but rarely do long haul. I have to say that the food and service on this flight was very good. All in all it was as good as you can expect for economy!
Boarding at HK was, as usual, efficient and organised, (Silver membership helps). Chicago was another matter....seemed very...",International' 'Economy' 'Hong Kong - Chicago
"Great flight, great seats, great lounges",5,"I enjoyed my flight from Manila to Hangzhou with a stopover in Hong Kong. Firstly, departing Manila, it's much more convenient to use Terminal 3 (which Cathay Pacific uses) over the other terminals used by competitors: the traffic jams are usually less severe and check-in and other formalities are better organized. Secondly, the lounge makes a big difference because the...",North Asia' 'Business Class' 'Manila - Hangzhou
